epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,6.85437,1.70938,2.96213,1.75078,0.00061,0.06122,0.0004,0.00028,1.0043,4.84209,0.92425,0.00012,0.00012,0.00012
2,13.7066,1.70117,2.79432,1.76757,0.00074,0.08163,0.00065,0.00032,1.0831,4.53338,0.97506,0.000259142,0.000259142,0.000259142
3,20.3717,1.52297,2.2666,1.60147,0.00046,0.06122,0.00065,0.0004,1.45084,4.34914,1.02357,0.00039736,0.00039736,0.00039736
4,26.9764,1.49109,1.80715,1.58566,0.00055,0.06122,0.00041,0.0002,2.12871,4.67366,1.2865,0.000534654,0.000534654,0.000534654
5,33.5599,1.45156,1.71389,1.47259,0.00109,0.06122,0.00059,0.00034,2.12606,4.72705,1.35974,0.000671024,0.000671024,0.000671024
6,40.144,1.40921,1.60727,1.43067,0.00038,0.06122,0.00042,0.00026,1.60583,4.20341,1.15388,0.00080647,0.00080647,0.00080647
7,46.7567,1.49075,1.60174,1.52624,0.00044,0.06122,0.00067,0.00048,1.67985,4.80247,1.38274,0.000940992,0.000940992,0.000940992
8,53.3123,1.43812,1.54835,1.46569,0.00518,0.04082,0.0009,0.00058,1.68721,6.7182,1.35931,0.00107459,0.00107459,0.00107459
9,59.8554,1.32164,1.50563,1.42515,0.01109,0.02041,0.00169,0.00102,1.45798,6.3036,1.11544,0.00120726,0.00120726,0.00120726
10,66.4116,1.46488,1.4859,1.47235,0.0705,0.02041,0.00389,0.00242,1.31054,4.90462,1.12015,0.00133901,0.00133901,0.00133901
11,72.9986,1.38704,1.52301,1.38403,0.05798,0.02041,0.00302,0.00143,1.81344,5.39017,1.35436,0.00146984,0.00146984,0.00146984
12,79.6156,1.53965,1.49448,1.5352,0.16229,0.02041,0.00543,0.00318,2.41138,10.3634,2.08482,0.00159974,0.00159974,0.00159974
13,86.1412,1.46693,1.48974,1.48416,0.32298,0.02041,0.01388,0.00793,2.55862,7.0613,2.10528,0.00172872,0.00172872,0.00172872
14,92.7109,1.36985,1.40927,1.4364,0.07116,0.04082,0.01069,0.00661,2.26098,8.05879,1.54768,0.00185677,0.00185677,0.00185677
15,99.1041,1.37665,1.38321,1.41993,0.30312,0.04082,0.0152,0.00476,2.27653,10.0063,1.83662,0.0019076,0.0019076,0.0019076
16,105.757,1.41949,1.36202,1.4488,0.03474,0.04082,0.00312,0.00165,1.89065,24.7058,1.44421,0.001901,0.001901,0.001901
17,112.411,1.36476,1.32951,1.40571,0.0323,0.04082,0.00217,0.00117,1.98223,58.9637,1.62847,0.0018944,0.0018944,0.0018944
18,118.904,1.36777,1.30876,1.43042,0.07822,0.04082,0.00581,0.00246,2.59604,16.2312,2.11522,0.0018878,0.0018878,0.0018878
19,125.476,1.39295,1.28644,1.44009,0.03695,0.04082,0.00239,0.00093,2.71258,13.0052,1.93178,0.0018812,0.0018812,0.0018812
20,132.023,1.3576,1.33171,1.3814,0.00217,0.04082,0.00081,0.00046,2.00258,24.3648,1.70419,0.0018746,0.0018746,0.0018746
21,138.55,1.2868,1.21863,1.32588,0.02112,0.02041,0.00113,0.00082,1.82253,22.6283,1.61414,0.001868,0.001868,0.001868
22,145.177,1.29234,1.21935,1.335,0.04203,0.02041,0.00163,0.00114,2.1969,10.3549,1.64614,0.0018614,0.0018614,0.0018614
23,151.785,1.32928,1.23849,1.35489,0.22273,0.02041,0.00672,0.00469,2.20302,10.084,1.71834,0.0018548,0.0018548,0.0018548
24,158.44,1.28765,1.24643,1.36082,0.08326,0.02041,0.00287,0.00182,2.18985,9.41299,1.66827,0.0018482,0.0018482,0.0018482
