fitness,lr0,lrf,momentum,weight_decay,warmup_epochs,warmup_momentum,box,cls,dfl,hsv_h,hsv_s,hsv_v,degrees,translate,scale,shear,perspective,flipud,fliplr,bgr,mosaic,mixup,copy_paste
0.0,0.01,0.01,0.937,0.0005,3.0,0.8,7.5,0.5,1.5,0.015,0.7,0.4,0.0,0.1,0.5,0.0,0.0,0.0,0.5,0.0,1.0,0.0,0.0
0.03386,0.00877,0.00992,0.97216,0.0005,3.31139,0.77118,9.74698,0.60785,1.47551,0.0142,0.6742,0.4,0.0,0.08963,0.45459,0.0,0.0,0.0,0.48404,0.0,1.0,0.0,0.0
0.03515,0.0095,0.00915,0.97216,0.0005,3.2471,0.76666,9.93414,0.6221,1.40564,0.01342,0.6742,0.42364,0.0,0.08784,0.39462,0.0,0.0,0.0,0.48404,0.0,1.0,0.0,0.0
0.03247,0.0096,0.00923,0.97216,0.0005,3.25256,0.76386,9.77821,0.62363,1.40564,0.01342,0.67484,0.423,0.0,0.08784,0.40161,0.0,0.0,0.0,0.48251,0.0,0.99222,0.0,0.0
0.04069,0.00832,0.00933,0.92384,0.00044,3.31139,0.75745,9.72917,0.68081,1.41239,0.01552,0.6742,0.39038,0.0,0.08963,0.53639,0.0,0.0,0.0,0.39424,0.0,1.0,0.0,0.0
0.03983,0.00976,0.01041,0.93609,0.00053,3.16772,0.77118,9.74698,0.75375,1.46959,0.0131,0.82116,0.4,0.0,0.08573,0.50055,0.0,0.0,0.0,0.56841,0.0,1.0,0.0,0.0
0.03782,0.01113,0.00878,0.92052,0.00057,3.60863,0.80529,10.53995,0.90939,1.63609,0.01082,0.82116,0.31154,0.0,0.11136,0.496,0.0,0.0,0.0,0.58484,0.0,0.99472,0.0,0.0
0.04516,0.00976,0.01169,0.94777,0.00057,3.01943,0.78575,7.7782,0.81145,1.46959,0.0131,0.88012,0.4,0.0,0.08195,0.51709,0.0,0.0,0.0,0.61382,0.0,1.0,0.0,0.0
0.04383,0.00976,0.01128,0.94575,0.00053,4.05654,0.84802,10.91901,0.75375,1.39208,0.00917,0.78318,0.41875,0.0,0.09013,0.58673,0.0,0.0,0.0,0.66793,0.0,0.96724,0.0,0.0
0.03938,0.00665,0.0109,0.9571,0.00058,3.01943,0.75473,7.73102,0.68961,1.33877,0.01266,0.9,0.26419,0.0,0.06848,0.43239,0.0,0.0,0.0,0.65347,0.0,1.0,0.0,0.0
0.03567,0.01021,0.01192,0.96065,0.00055,2.95917,0.81405,7.7782,0.82081,1.46959,0.01337,0.88012,0.40546,0.0,0.07705,0.49415,0.0,0.0,0.0,0.64572,0.0,1.0,0.0,0.0
0.04158,0.00756,0.01128,0.83183,0.00051,3.63705,0.84802,14.09142,0.80561,1.36004,0.01198,0.87115,0.54514,0.0,0.11454,0.84166,0.0,0.0,0.0,0.6149,0.0,0.84928,0.0,0.0
0.03964,0.00832,0.00933,0.92432,0.00044,3.31184,0.75867,9.74463,0.68081,1.41239,0.01552,0.67395,0.38954,0.0,0.08968,0.53511,0.0,0.0,0.0,0.39415,0.0,1.0,0.0,0.0
0.0428,0.00812,0.01122,0.94777,0.00068,2.5479,0.78155,8.05523,0.93722,1.56727,0.0131,0.85662,0.4,0.0,0.08195,0.42825,0.0,0.0,0.0,0.5858,0.0,1.0,0.0,0.0
0.04721,0.00948,0.01173,0.96937,0.00054,4.09411,0.8624,11.57259,0.67802,1.30075,0.00885,0.71747,0.42613,0.0,0.09013,0.58462,0.0,0.0,0.0,0.67154,0.0,0.96724,0.0,0.0
0.03543,0.01094,0.01015,0.98,0.00054,4.77661,0.85417,9.74734,0.63996,1.60065,0.0092,0.74289,0.38935,0.0,0.09905,0.55595,0.0,0.0,0.0,0.75361,0.0,0.96724,0.0,0.0
0.04518,0.00959,0.01193,0.96037,0.00054,4.0662,0.8624,11.45316,0.68102,1.29138,0.00885,0.6999,0.41694,0.0,0.09013,0.58756,0.0,0.0,0.0,0.6483,0.0,0.96724,0.0,0.0
