epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,6.67694,2.01733,2.93273,2.03025,0.00029,0.06122,0.00017,0.00011,1.73463,14.224,1.48774,0.094006,6e-06,6e-06
2,13.2902,1.56698,2.76236,1.66221,0.00029,0.06122,0.00017,0.00011,1.81429,12.6251,1.53386,0.087013,1.29571e-05,1.29571e-05
3,19.8552,1.6134,2.61203,1.67536,0.00029,0.06122,0.00017,0.0001,1.98131,8.91729,1.48566,0.0800199,1.9868e-05,1.9868e-05
4,26.4129,1.47448,2.54565,1.60844,0.00029,0.06122,0.00019,0.00012,1.88801,9.3143,1.36052,0.0730267,2.67327e-05,2.67327e-05
5,32.9703,1.59981,2.48298,1.66272,0.00029,0.06122,0.00027,0.00013,1.77191,10.5621,1.23631,0.0660336,3.35512e-05,3.35512e-05
6,39.5063,1.55147,2.35006,1.62126,0.00029,0.06122,0.00026,0.00014,1.63213,9.5705,1.2242,0.0590403,4.03235e-05,4.03235e-05
7,46.0562,1.50537,2.29706,1.58743,0.00029,0.06122,0.00023,0.00012,1.5782,8.85672,1.19527,0.052047,4.70496e-05,4.70496e-05
8,52.5248,1.50397,2.21577,1.56864,0.00029,0.06122,0.00026,0.00014,1.4827,7.55962,1.09948,0.0450537,5.37295e-05,5.37295e-05
9,59.0285,1.55671,2.10462,1.5986,0.00029,0.06122,0.00026,0.00017,1.25414,6.5017,1.06873,0.0380604,6.03632e-05,6.03632e-05
10,65.4182,1.49898,2.01841,1.54009,0.00032,0.06122,0.00036,0.00025,1.1854,5.97887,1.05113,0.031067,6.69507e-05,6.69507e-05
11,71.9015,1.49902,1.98906,1.49808,0.00039,0.06122,0.00065,0.00042,1.10282,5.61466,1.04168,0.0240735,7.3492e-05,7.3492e-05
12,78.3081,1.51399,1.93534,1.53552,0.00049,0.06122,0.00139,0.0009,1.21259,5.29747,1.10527,0.01708,7.99871e-05,7.99871e-05
13,84.6543,1.39378,1.84031,1.46681,0.00048,0.06122,0.00158,0.001,1.2645,5.27928,1.13001,0.0100864,8.6436e-05,8.6436e-05
14,91.027,1.3784,1.80242,1.43076,0.00044,0.06122,0.00202,0.00147,1.36112,5.18395,1.20105,0.00309284,9.28387e-05,9.28387e-05
15,97.4302,1.3749,1.80377,1.45418,0.02936,0.06122,0.00249,0.00181,1.39869,5.12018,1.21448,9.538e-05,9.538e-05,9.538e-05
16,103.805,1.44533,1.80671,1.50381,0.0464,0.04082,0.00342,0.00263,1.41086,5.00341,1.22181,9.505e-05,9.505e-05,9.505e-05
17,110.169,1.35284,1.82725,1.44441,0.05775,0.04082,0.00406,0.00312,1.41671,4.99396,1.20874,9.472e-05,9.472e-05,9.472e-05
18,116.574,1.37409,1.71364,1.44057,0.07075,0.04082,0.00666,0.00492,1.45778,4.90897,1.21441,9.439e-05,9.439e-05,9.439e-05
19,122.978,1.38935,1.78095,1.46396,0.18177,0.06122,0.01408,0.00973,1.44241,5.01955,1.1906,9.406e-05,9.406e-05,9.406e-05
20,129.359,1.31083,1.74848,1.41358,0.20259,0.06122,0.01639,0.01105,1.42946,5.03269,1.17667,9.373e-05,9.373e-05,9.373e-05
21,135.732,1.36355,1.78597,1.42462,0.24268,0.06122,0.01964,0.01298,1.42967,5.0664,1.17693,9.34e-05,9.34e-05,9.34e-05
22,142.137,1.38726,1.72598,1.4687,0.25857,0.06122,0.01964,0.01281,1.41194,5.09512,1.15541,9.307e-05,9.307e-05,9.307e-05
23,148.497,1.34748,1.77881,1.44763,0.22244,0.04711,0.02065,0.01386,1.38795,4.98875,1.14748,9.274e-05,9.274e-05,9.274e-05
24,154.86,1.29921,1.67215,1.38997,0.20773,0.04082,0.01988,0.01344,1.38787,4.99319,1.14837,9.241e-05,9.241e-05,9.241e-05
25,161.247,1.32724,1.61293,1.38502,0.2036,0.04082,0.01921,0.01333,1.38375,4.98987,1.14719,9.208e-05,9.208e-05,9.208e-05
26,167.633,1.18865,1.63404,1.3047,0.31599,0.04082,0.02313,0.0173,1.37542,5.20327,1.14132,9.175e-05,9.175e-05,9.175e-05
27,174.012,1.29628,1.67136,1.37866,0.35044,0.04082,0.02372,0.01771,1.37201,5.5231,1.15012,9.142e-05,9.142e-05,9.142e-05
28,180.416,1.36468,1.62355,1.4162,0.43964,0.04082,0.02499,0.01851,1.39387,5.8785,1.14786,9.109e-05,9.109e-05,9.109e-05
29,186.794,1.34089,1.5781,1.39581,0.45849,0.04082,0.02435,0.01823,1.40826,6.09973,1.14694,9.076e-05,9.076e-05,9.076e-05
30,193.191,1.24505,1.54457,1.3258,0.4733,0.04082,0.0236,0.01924,1.44482,6.64737,1.14466,9.043e-05,9.043e-05,9.043e-05
31,199.608,1.3034,1.60946,1.38809,0.47294,0.04082,0.02358,0.01683,1.46367,6.8764,1.14094,9.01e-05,9.01e-05,9.01e-05
32,206,1.22898,1.42267,1.319,0.47708,0.04082,0.02405,0.01846,1.44598,6.95996,1.13198,8.977e-05,8.977e-05,8.977e-05
33,212.378,1.24494,1.55967,1.32515,0.47955,0.04082,0.02435,0.0187,1.43034,6.87828,1.12354,8.944e-05,8.944e-05,8.944e-05
34,218.718,1.08831,1.39162,1.23991,0.48289,0.04082,0.02451,0.01882,1.41937,6.80822,1.11395,8.911e-05,8.911e-05,8.911e-05
35,225.106,1.28041,1.47746,1.35466,0.48414,0.04082,0.02569,0.01789,1.43215,6.60205,1.11731,8.878e-05,8.878e-05,8.878e-05
36,231.488,1.17837,1.42971,1.3269,0.49613,0.04082,0.03394,0.02361,1.43413,6.3659,1.11213,8.845e-05,8.845e-05,8.845e-05
37,237.884,1.21099,1.37841,1.31492,0.49547,0.04082,0.03394,0.02361,1.42527,6.21641,1.10982,8.812e-05,8.812e-05,8.812e-05
38,244.291,1.20646,1.4827,1.31974,0.23945,0.05807,0.02769,0.01949,1.42776,5.94933,1.11556,8.779e-05,8.779e-05,8.779e-05
39,250.672,1.23423,1.46359,1.34764,0.25008,0.06122,0.02814,0.01886,1.39627,5.44039,1.11433,8.746e-05,8.746e-05,8.746e-05
40,257.032,1.26791,1.42678,1.35693,0.26249,0.06122,0.02936,0.02038,1.37568,5.04194,1.11411,8.713e-05,8.713e-05,8.713e-05
41,263.375,1.13447,1.34313,1.26505,0.28208,0.06122,0.02936,0.01853,1.36311,4.92522,1.10698,8.68e-05,8.68e-05,8.68e-05
42,269.759,1.31286,1.46066,1.37127,0.28839,0.06122,0.03019,0.01911,1.34817,4.74815,1.10716,8.647e-05,8.647e-05,8.647e-05
43,276.136,1.33996,1.54204,1.39773,0.21784,0.05711,0.02731,0.01666,1.365,4.73611,1.12255,8.614e-05,8.614e-05,8.614e-05
44,282.493,1.08777,1.29424,1.27485,0.48515,0.04082,0.02639,0.01585,1.43414,4.72707,1.14507,8.581e-05,8.581e-05,8.581e-05
45,288.855,1.15235,1.38196,1.28647,0.48445,0.04082,0.02639,0.01585,1.4932,4.79828,1.16525,8.548e-05,8.548e-05,8.548e-05
46,295.224,1.14402,1.323,1.26845,0.4841,0.04082,0.02639,0.01559,1.53919,4.92993,1.18301,8.515e-05,8.515e-05,8.515e-05
47,301.641,1.2172,1.41446,1.32025,0.48523,0.04082,0.0258,0.01522,1.57384,5.1342,1.19451,8.482e-05,8.482e-05,8.482e-05
48,308.002,1.14959,1.34934,1.27135,0.48738,0.04082,0.02617,0.01521,1.58496,5.24559,1.19619,8.449e-05,8.449e-05,8.449e-05
49,314.364,1.20732,1.39505,1.33832,0.49588,0.04082,0.03319,0.0195,1.58785,5.36188,1.19101,8.416e-05,8.416e-05,8.416e-05
50,320.756,1.17919,1.34482,1.30168,0.60286,0.04082,0.03292,0.02357,1.59544,5.50758,1.19631,8.383e-05,8.383e-05,8.383e-05
51,327.153,1.18327,1.34291,1.309,0.62353,0.04082,0.03136,0.02266,1.62113,5.82564,1.20957,8.35e-05,8.35e-05,8.35e-05
52,333.514,1.15454,1.24919,1.26418,0.62857,0.04082,0.03082,0.02238,1.62199,6.13337,1.22586,8.317e-05,8.317e-05,8.317e-05
53,339.909,1.08851,1.3426,1.26446,0.63003,0.04082,0.03062,0.02221,1.63039,6.39237,1.23312,8.284e-05,8.284e-05,8.284e-05
54,346.285,1.06783,1.2563,1.2237,0.63863,0.04082,0.03037,0.02293,1.62516,6.88247,1.2271,8.251e-05,8.251e-05,8.251e-05
55,352.686,1.1789,1.29692,1.28444,0.64123,0.04082,0.03029,0.02288,1.57712,7.38792,1.19693,8.218e-05,8.218e-05,8.218e-05
56,359.071,1.17604,1.35811,1.30007,0.64593,0.04082,0.0303,0.02289,1.5374,7.70537,1.17071,8.185e-05,8.185e-05,8.185e-05
57,365.444,1.13383,1.2233,1.27119,0.64747,0.04082,0.04532,0.03673,1.50827,7.89078,1.15705,8.152e-05,8.152e-05,8.152e-05
58,371.862,1.09125,1.27289,1.22343,0.65999,0.04082,0.04539,0.03678,1.44199,8.03149,1.12116,8.119e-05,8.119e-05,8.119e-05
59,378.283,1.07124,1.17875,1.20287,0.65943,0.04082,0.04541,0.03429,1.39021,8.45274,1.10278,8.086e-05,8.086e-05,8.086e-05
60,384.672,1.08215,1.26438,1.23958,0.66118,0.04082,0.04541,0.03429,1.40347,8.80486,1.09869,8.053e-05,8.053e-05,8.053e-05
61,391.054,1.13052,1.27778,1.26409,0.65615,0.04082,0.0454,0.03431,1.42204,8.90509,1.10114,8.02e-05,8.02e-05,8.02e-05
62,397.426,1.16404,1.20791,1.25628,0.6452,0.04082,0.03877,0.02967,1.49438,8.8632,1.11812,7.987e-05,7.987e-05,7.987e-05
63,403.821,1.04411,1.24409,1.21577,0.64423,0.04082,0.03918,0.02743,1.55256,8.15852,1.13035,7.954e-05,7.954e-05,7.954e-05
64,410.228,1.0807,1.21089,1.2444,0.64597,0.04082,0.03087,0.02161,1.5794,7.49994,1.13458,7.921e-05,7.921e-05,7.921e-05
65,416.595,0.9408,1.17463,1.17008,0.64643,0.04082,0.03073,0.01974,1.59731,7.26092,1.13716,7.888e-05,7.888e-05,7.888e-05
66,422.973,1.08288,1.1853,1.20778,0.64434,0.04082,0.03083,0.01981,1.63758,6.61519,1.14538,7.855e-05,7.855e-05,7.855e-05
67,429.366,1.08603,1.24609,1.23265,0.6368,0.04082,0.03106,0.01996,1.70337,6.2358,1.16665,7.822e-05,7.822e-05,7.822e-05
